"Time","Year",2020,2020.06,2020.12,2020.19,2020.25,2020.31,2020.38,2020.44,2020.5,2020.56,2020.62,2020.69,2020.75,2020.81,2020.88,2020.94,2021,2021.06,2021.12,2021.19,2021.25,2021.31,2021.38,2021.44,2021.5,2021.56,2021.62,2021.69,2021.75,2021.81,2021.88,2021.94,2022,2022.06,2022.12,2022.19,2022.25,2022.31,2022.38,2022.44,2022.5,2022.56,2022.62,2022.69,2022.75,2022.81,2022.88,2022.94,2023,2023.06,2023.12,2023.19,2023.25,2023.31,2023.38,2023.44,2023.5,2023.56,2023.62,2023.69,2023.75,2023.81,2023.88,2023.94,2024,2024.06,2024.12,2024.19,2024.25,2024.31,2024.38,2024.44,2024.5,2024.56,2024.62,2024.69,2024.75,2024.81,2024.88,2024.94,2025,2025.06,2025.12,2025.19,2025.25,2025.31,2025.38,2025.44,2025.5,2025.56,2025.62,2025.69,2025.75,2025.81,2025.88,2025.94,2026,2026.06,2026.12,2026.19,2026.25,2026.31,2026.38,2026.44,2026.5,2026.56,2026.62,2026.69,2026.75,2026.81,2026.88,2026.94,2027,2027.06,2027.12,2027.19,2027.25,2027.31,2027.38,2027.44,2027.5,2027.56,2027.62,2027.69,2027.75,2027.81,2027.88,2027.94,2028,2028.06,2028.12,2028.19,2028.25,2028.31,2028.38,2028.44,2028.5,2028.56,2028.62,2028.69,2028.75,2028.81,2028.88,2028.94,2029,2029.06,2029.12,2029.19,2029.25,2029.31,2029.38,2029.44,2029.5,2029.56,2029.62,2029.69,2029.75,2029.81,2029.88,2029.94,2030,2030.06,2030.12,2030.19,2030.25,2030.31,2030.38,2030.44,2030.5,2030.56,2030.62,2030.69,2030.75,2030.81,2030.88,2030.94,2031,2031.06,2031.12,2031.19,2031.25,2031.31,2031.38,2031.44,2031.5,2031.56,2031.62,2031.69,2031.75,2031.81,2031.88,2031.94,2032,2032.06,2032.12,2032.19,2032.25,2032.31,2032.38,2032.44,2032.5,2032.56,2032.62,2032.69,2032.75,2032.81,2032.88,2032.94,2033,2033.06,2033.12,2033.19,2033.25,2033.31,2033.38,2033.44,2033.5,2033.56,2033.62,2033.69,2033.75,2033.81,2033.88,2033.94,2034,2034.06,2034.12,2034.19,2034.25,2034.31,2034.38,2034.44,2034.5,2034.56,2034.62,2034.69,2034.75,2034.81,2034.88,2034.94,2035,2035.06,2035.12,2035.19,2035.25,2035.31,2035.38,2035.44,2035.5,2035.56,2035.62,2035.69,2035.75,2035.81,2035.88,2035.94,2036,2036.06,2036.12,2036.19,2036.25,2036.31,2036.38,2036.44,2036.5,2036.56,2036.62,2036.69,2036.75,2036.81,2036.88,2036.94,2037,2037.06,2037.12,2037.19,2037.25,2037.31,2037.38,2037.44,2037.5,2037.56,2037.62,2037.69,2037.75,2037.81,2037.88,2037.94,2038,2038.06,2038.12,2038.19,2038.25,2038.31,2038.38,2038.44,2038.5,2038.56,2038.62,2038.69,2038.75,2038.81,2038.88,2038.94,2039,2039.06,2039.12,2039.19,2039.25,2039.31,2039.38,2039.44,2039.5,2039.56,2039.62,2039.69,2039.75,2039.81,2039.88,2039.94,2040,2040.06,2040.12,2040.19,2040.25,2040.31,2040.38,2040.44,2040.5,2040.56,2040.62,2040.69,2040.75,2040.81,2040.88,2040.94,2041,2041.06,2041.12,2041.19,2041.25,2041.31,2041.38,2041.44,2041.5,2041.56,2041.62,2041.69,2041.75,2041.81,2041.88,2041.94,2042,2042.06,2042.12,2042.19,2042.25,2042.31,2042.38,2042.44,2042.5,2042.56,2042.62,2042.69,2042.75,2042.81,2042.88,2042.94,2043,2043.06,2043.12,2043.19,2043.25,2043.31,2043.38,2043.44,2043.5,2043.56,2043.62,2043.69,2043.75,2043.81,2043.88,2043.94,2044,2044.06,2044.12,2044.19,2044.25,2044.31,2044.38,2044.44,2044.5,2044.56,2044.62,2044.69,2044.75,2044.81,2044.88,2044.94,2045,2045.06,2045.12,2045.19,2045.25,2045.31,2045.38,2045.44,2045.5,2045.56,2045.62,2045.69,2045.75,2045.81,2045.88,2045.94,2046,2046.06,2046.12,2046.19,2046.25,2046.31,2046.38,2046.44,2046.5,2046.56,2046.62,2046.69,2046.75,2046.81,2046.88,2046.94,2047,2047.06,2047.12,2047.19,2047.25,2047.31,2047.38,2047.44,2047.5,2047.56,2047.62,2047.69,2047.75,2047.81,2047.88,2047.94,2048,2048.06,2048.12,2048.19,2048.25,2048.31,2048.38,2048.44,2048.5,2048.56,2048.62,2048.69,2048.75,2048.81,2048.88,2048.94,2049,2049.06,2049.12,2049.19,2049.25,2049.31,2049.38,2049.44,2049.5,2049.56,2049.62,2049.69,2049.75,2049.81,2049.88,2049.94,2050
"Additional cost percentage","Dmnl",1.21
"Amplification factor","Dmnl",3
"Annual demand","tonne/Year",53200,53422.4,53668.4,53921.9,54175.9,54427.4,54675.3,54919.6,55160.1,55397.2,55631,55861.8,56089.9,56315.4,56538.6,56759.6,56978.8,57196.1,57411.9,57626.3,57839.3,58051.2,58262,58472,58681.1,58889.5,59097.3,59304.6,59511.4,59717.9,59924.1,60130,60335.8,60541.5,60747.2,60952.8,61158.5,61364.3,61570.2,61776.3,61982.7,62189.2,62396.1,62603.2,62810.7,63018.6,63226.9,63435.5,63644.6,63854.2,64064.2,64274.7,64485.8,64697.3,64909.4,65122.1,65335.3,65549.1,65763.4,65978.4,66194,66410.2,66627,66844.5,67062.6,67281.4,67500.9,67721,67941.8,68163.2,68385.4,68608.2,68831.8,69056,69281,69506.7,69733.1,69960.2,70188,70416.6,70645.9,70893.2,71179.4,71502.3,71860.1,72251.2,72674.1,73127.5,73610,74120.6,74658.2,75221.8,75810.5,76423.6,77060.2,77719.7,78401.4,79104.9,79829.6,80575,81340.8,82126.5,82932,83756.8,84600.8,85463.7,86345.5,87245.9,88164.8,89102.2,90058.1,91032.3,92025,93036.1,94065.7,95113.8,96180.6,97266.1,98370.5,99493.9,100637,101799,102980,104182,105403,106645,107907,109190,110494,111819,113167,114536,115928,117342,118779,120240,121725,123235,124768,126327,127912,129523,131160,132825,134521,136247,138004,139792,141611,143463,145347,147264,149215,151200,153220,155275,157367,159495,161660,163863,166105,168325,170445,172471,174406,176255,178023,179714,181332,182880,184361,185778,187134,188432,189675,190863,192000,193087,194126,195118,196066,196970,197831,198652,199433,200174,200877,201544,202173,202767,203326,203850,204340,204796,205220,205613,205975,206307,206610,206882,207126,207340,207526,207682,207810,207910,207982,208025,208041,208028,207988,207920,207825,207703,207553,207377,207173,206942,206685,206401,206090,205753,205390,205000,204585,204143,203675,203178,202653,202099,201516,200905,200267,199600,198906,198184,197435,196659,195856,195027,194171,193330,192554,191838,191177,190568,190006,189488,189012,188573,188170,187800,187460,187149,186863,186602,186362,186144,185944,185762,185596,185445,185307,185182,185068,184965,184871,184785,184708,184637,184573,184514,184461,184412,184366,184325,184286,184250,184216,184183,184152,184122,184093,184064,184035,184007,183977,183948,183917,183886,183853,183819,183784,183747,183708,183667,183624,183580,183532,183483,183431,183377,183320,183260,183198,183133,183064,182994,182920,182843,182763,182680,182593,182504,182411,182315,182216,182114,182008,181899,181787,181671,181554,181434,181312,181187,181060,180931,180799,180664,180526,180386,180243,180097,179948,179797,179642,179484,179324,179160,178994,178824,178651,178475,178297,178115,177929,177741,177550,177355,177158,176957,176753,176546,176336,176122,175906,175686,175463,175237,175008,174776,174540,174302,174060,173815,173567,173316,173062,172805,172544,172281,172015,171745,171472,171197,170918,170636,170351,170064,169773,169479,169183,168883,168580,168275,167966,167655,167341,167024,166704,166381,166055,165727,165396,165062,164725,164385,164043,163698,163350,162999,162646,162290,161932,161571,161207,160840,160471,160100,159726,159349,158970,158588,158204,157817,157428,157037,156643,156247,155848,155447,155044,154638,154230,153820,153407,152992,152575,152156,151735,151311,150885,150457,150027,149595,149161,148725,148287,147846,147404,146960,146514,146066,145616,145164,144710,144255,143797,143338,142877,142414,141950,141484,141016,140546,140075,139602,139127,138651,138174,137694,137214,136731,136248,135763,135276,134788,134298,133808,133315,132822,132327,131831,131334,130835,130335,129834,129332,128829,128324
"Annual emissions","tonneCO2eq/Year",4.1418E+06,4.12122E+06,4.09017E+06,4.05498E+06,4.0185E+06,3.98195E+06,3.94583E+06,3.91033E+06,3.87552E+06,3.84142E+06,3.80802E+06,3.77531E+06,3.74326E+06,3.71186E+06,3.68108E+06,3.65092E+06,3.62135E+06,3.59235E+06,3.5639E+06,3.536E+06,3.50863E+06,3.48177E+06,3.4554E+06,3.42952E+06,3.40411E+06,3.37916E+06,3.35466E+06,3.33059E+06,3.30694E+06,3.28371E+06,3.26088E+06,3.23845E+06,3.21639E+06,3.19471E+06,3.1734E+06,3.15244E+06,3.13183E+06,3.11156E+06,3.09161E+06,3.072E+06,3.05269E+06,3.0337E+06,3.01501E+06,2.99662E+06,2.97851E+06,2.96068E+06,2.94313E+06,2.92586E+06,2.90884E+06,2.89208E+06,2.87558E+06,2.85932E+06,2.84331E+06,2.82753E+06,2.81199E+06,2.79667E+06,2.78158E+06,2.7667E+06,2.75204E+06,2.73759E+06,2.72334E+06,2.7093E+06,2.69545E+06,2.6818E+06,2.66834E+06,2.65506E+06,2.64196E+06,2.62905E+06,2.61631E+06,2.60374E+06,2.59134E+06,2.57911E+06,2.56704E+06,2.55513E+06,2.54338E+06,2.53179E+06,2.52034E+06,2.50904E+06,2.49789E+06,2.48688E+06,2.47602E+06,2.4653E+06,2.45478E+06,2.4445E+06,2.43447E+06,2.4247E+06,2.41519E+06,2.40594E+06,2.39693E+06,2.38818E+06,2.37966E+06,2.37139E+06,2.36336E+06,2.35555E+06,2.34798E+06,2.34063E+06,2.33349E+06,2.32657E+06,2.31987E+06,2.31337E+06,2.30707E+06,2.30098E+06,2.29508E+06,2.28937E+06,2.28385E+06,2.27852E+06,2.27338E+06,2.26841E+06,2.26362E+06,2.259E+06,2.25456E+06,2.25028E+06,2.24618E+06,2.24228E+06,2.23858E+06,2.23508E+06,2.23177E+06,2.22866E+06,2.22573E+06,2.22298E+06,2.22041E+06,2.21802E+06,2.2158E+06,2.21375E+06,2.21186E+06,2.21014E+06,2.20858E+06,2.20717E+06,2.20592E+06,2.20482E+06,2.20387E+06,2.20307E+06,2.20241E+06,2.2019E+06,2.20152E+06,2.20129E+06,2.20119E+06,2.20122E+06,2.20139E+06,2.20169E+06,2.20212E+06,2.20268E+06,2.20337E+06,2.20417E+06,2.20506E+06,2.206E+06,2.207E+06,2.20805E+06,2.20915E+06,2.2103E+06,2.21151E+06,2.21278E+06,2.2141E+06,2.21547E+06,2.21691E+06,2.2184E+06,2.21995E+06,2.22155E+06,2.22322E+06,2.22495E+06,2.22674E+06,2.22858E+06,2.23043E+06,2.23227E+06,2.23411E+06,2.23594E+06,2.23776E+06,2.23957E+06,2.24137E+06,2.24316E+06,2.24494E+06,2.24671E+06,2.24847E+06,2.25023E+06,2.25197E+06,2.25371E+06,2.25544E+06,2.25715E+06,2.25886E+06,2.26056E+06,2.26224E+06,2.26392E+06,2.26559E+06,2.26724E+06,2.26889E+06,2.27052E+06,2.27214E+06,2.27376E+06,2.27536E+06,2.27694E+06,2.27852E+06,2.28008E+06,2.28163E+06,2.28316E+06,2.28468E+06,2.28618E+06,2.28764E+06,2.28907E+06,2.29046E+06,2.29181E+06,2.29312E+06,2.29439E+06,2.29562E+06,2.29681E+06,2.29795E+06,2.29905E+06,2.30011E+06,2.30113E+06,2.30209E+06,2.30302E+06,2.30389E+06,2.30472E+06,2.3055E+06,2.30623E+06,2.30691E+06,2.30754E+06,2.30811E+06,2.30863E+06,2.3091E+06,2.30952E+06,2.30988E+06,2.31018E+06,2.31042E+06,2.31061E+06,2.31074E+06,2.3108E+06,2.31098E+06,2.31105E+06,2.31105E+06,2.31097E+06,2.31083E+06,2.31061E+06,2.31032E+06,2.30996E+06,2.30953E+06,2.30902E+06,2.30845E+06,2.3078E+06,2.30707E+06,2.30627E+06,2.30538E+06,2.30443E+06,2.30345E+06,2.30247E+06,2.30151E+06,2.30056E+06,2.29964E+06,2.29875E+06,2.29788E+06,2.29703E+06,2.2962E+06,2.29539E+06,2.2946E+06,2.29382E+06,2.29306E+06,2.29231E+06,2.29157E+06,2.29085E+06,2.29013E+06,2.28942E+06,2.28872E+06,2.28802E+06,2.28733E+06,2.28664E+06,2.28596E+06,2.28527E+06,2.28459E+06,2.28391E+06,2.28323E+06,2.28255E+06,2.28187E+06,2.28119E+06,2.2805E+06,2.27981E+06,2.27912E+06,2.27842E+06,2.27772E+06,2.27702E+06,2.27631E+06,2.27559E+06,2.27487E+06,2.27414E+06,2.27341E+06,2.27267E+06,2.27192E+06,2.27116E+06,2.2704E+06,2.26963E+06,2.26885E+06,2.26806E+06,2.26727E+06,2.26647E+06,2.26565E+06,2.26483E+06,2.264E+06,2.26316E+06,2.26231E+06,2.26146E+06,2.26059E+06,2.25971E+06,2.25882E+06,2.25792E+06,2.25702E+06,2.2561E+06,2.25517E+06,2.25423E+06,2.25328E+06,2.25232E+06,2.25135E+06,2.25037E+06,2.24938E+06,2.24837E+06,2.24736E+06,2.24633E+06,2.2453E+06,2.24425E+06,2.24319E+06,2.24212E+06,2.24104E+06,2.23994E+06,2.23884E+06,2.23772E+06,2.23659E+06,2.23545E+06,2.2343E+06,2.23314E+06,2.23197E+06,2.23079E+06,2.2296E+06,2.2284E+06,2.22718E+06,2.22596E+06,2.22472E+06,2.22347E+06,2.22222E+06,2.22095E+06,2.21967E+06,2.21837E+06,2.21707E+06,2.21575E+06,2.21443E+06,2.21309E+06,2.21174E+06,2.21038E+06,2.209E+06,2.20762E+06,2.20622E+06,2.20481E+06,2.20339E+06,2.20195E+06,2.2005E+06,2.19905E+06,2.19757E+06,2.19609E+06,2.19459E+06,2.19309E+06,2.19156E+06,2.19003E+06,2.18848E+06,2.18692E+06,2.18535E+06,2.18377E+06,2.18217E+06,2.18056E+06,2.17893E+06,2.1773E+06,2.17565E+06,2.17398E+06,2.17231E+06,2.17062E+06,2.16891E+06,2.1672E+06,2.16547E+06,2.16372E+06,2.16197E+06,2.1602E+06,2.15841E+06,2.15662E+06,2.1548E+06,2.15298E+06,2.15114E+06,2.14929E+06,2.14742E+06,2.14554E+06,2.14364E+06,2.14174E+06,2.13981E+06,2.13788E+06,2.13593E+06,2.13396E+06,2.13198E+06,2.12999E+06,2.12798E+06,2.12596E+06,2.12392E+06,2.12187E+06,2.1198E+06,2.11772E+06,2.11563E+06,2.11352E+06,2.11139E+06,2.10925E+06,2.1071E+06,2.10493E+06,2.10275E+06,2.10055E+06,2.09834E+06,2.09611E+06,2.09387E+06,2.09161E+06,2.08934E+06,2.08705E+06,2.08475E+06,2.08243E+06,2.0801E+06,2.07775E+06,2.07539E+06,2.07301E+06,2.07061E+06,2.0682E+06,2.06578E+06,2.06334E+06,2.06088E+06,2.05841E+06,2.05593E+06,2.05343E+06,2.05091E+06,2.04838E+06,2.04583E+06,2.04326E+06,2.04069E+06,2.03809E+06,2.03548E+06,2.03285E+06,2.03021E+06,2.02755E+06,2.02488E+06,2.02219E+06,2.01949E+06,2.01677E+06,2.01403E+06,2.01128E+06,2.00851E+06,2.00573E+06,2.00293E+06,2.00011E+06,1.99728E+06,1.99443E+06,1.99157E+06,1.98869E+06,1.9858E+06,1.98288E+06,1.97996E+06,1.97701E+06,1.97406E+06,1.97108E+06,1.96809E+06,1.96508E+06,1.96206E+06,1.95902E+06,1.95596E+06,1.95289E+06,1.9498E+06,1.9467E+06,1.94358E+06,1.94045E+06,1.93729E+06,1.93413E+06,1.93094E+06,1.92774E+06,1.92453E+06,1.92129E+06,1.91804E+06,1.91478E+06,1.9115E+06,1.9082E+06,1.90489E+06,1.90156E+06,1.89821E+06,1.89485E+06,1.89148E+06
""Annual supply (tonne/year)"","tonne/Year",55753.6,58921,60467.5,61250.5,61693.3,61987,62214.9,62413,62596.9,62773.2,62945.1,63114.1,63280.7,63445.6,63608.9,63770.9,63931.8,64091.8,64251,64409.6,64567.6,64725.3,64882.6,65039.8,65196.9,65353.9,65511.1,65668.4,65825.9,65983.8,66141.9,66300.5,66459.5,66619.1,66779.1,66939.8,67101.1,67263,67425.6,67588.9,67753,67917.8,68083.5,68249.9,68417.2,68585.3,68754.2,68924.1,69094.8,69266.4,69438.9,69612.4,69786.8,69962.1,70138.3,70315.5,70493.7,70672.8,70852.9,71034,71216,71399,71583,71767.9,71953.9,72140.8,72328.7,72517.6,72707.5,72898.3,73090.2,73283.1,73476.9,73671.7,73867.6,74064.4,74262.2,74461,74660.7,74861.5,75063.3,75268.7,75492.1,75743.3,76026.2,76341.6,76689.3,77068.2,77477.5,77915.9,78382.3,78875.7,79395.2,79939.8,80508.8,81101.3,81716.7,82354.4,83013.7,83694.1,84395.2,85116.6,85857.9,86618.8,87398.9,88198,89015.9,89852.5,90707.5,91580.8,92472.4,93382.2,94310.1,95256.1,96220.3,97202.6,98203.2,99222,100259,101315,102389,103483,104595,105726,106876,108046,109236,110446,111676,112926,114198,115490,116804,118139,119497,120877,122280,123706,125155,126628,128126,129648,131196,132784,134442,136135,137859,139612,141395,143210,145055,146931,148840,150781,152754,154762,156803,158878,160989,163135,165318,167518,169658,171709,173670,175546,177340,179057,180700,182273,183779,185221,186602,187925,189191,190404,191565,192676,193739,194756,195727,196656,197542,198387,199192,199958,200686,201378,202033,202652,203236,203787,204303,204786,205239,205670,206075,206453,206802,207123,207416,207679,207914,208121,208300,208451,208574,208669,208737,208778,208791,208777,208736,208669,208574,208453,208305,208131,207930,207703,207450,207171,206866,206535,206179,205796,205457,205062,204625,204152,203647,203113,202549,201958,201339,200692,200019,199318,198591,197838,197058,196257,195469,194717,194009,193349,192738,192172,191650,191169,190726,190318,189944,189600,189285,188996,188731,188489,188268,188066,187882,187714,187561,187422,187296,187181,187077,186983,186897,186819,186749,186685,186627,186574,186526,186482,186442,186404,186370,186337,186307,186278,186250,186223,186197,186171,186145,186118,186092,186064,186036,186007,185976,185944,185911,185876,185839,185800,185760,185717,185672,185624,185574,185522,185467,185409,185349,185286,185220,185151,185079,185004,184927,184846,184762,184675,184585,184491,184395,184295,184191,184085,183976,183864,183750,183633,183514,183393,183269,183143,183014,182882,182748,182610,182471,182328,182182,182034,181882,181728,181571,181411,181247,181081,180912,180740,180564,180386,180204,180020,179832,179641,179447,179250,179050,178847,178641,178431,178219,178003,177784,177562,177337,177109,176878,176644,176406,176166,175922,175675,175426,175173,174917,174658,174396,174131,173863,173592,173318,173041,172761,172478,172192,171903,171611,171317,171019,170718,170415,170109,169799,169487,169172,168855,168534,168211,167885,167556,167224,166890,166553,166213,165870,165525,165177,164826,164473,164117,163759,163398,163034,162668,162300,161928,161555,161178,160800,160419,160035,159649,159260,158870,158476,158081,157683,157283,156880,156475,156068,155659,155248,154834,154418,154000,153579,153157,152733,152306,151877,151447,151014,150579,150142,149703,149263,148820,148375,147929,147480,147030,146578,146124,145669,145211,144752,144291,143828,143364,142898,142430,141961,141490,141017,140543,140067,139590,139111,138631,138149,137666,137182,136696,136208,135720,135230,134738,134246,133752,133256,132760,132262
"Available supply","tonne/Year",55753.6,58921,60467.5,61250.5,61693.3,61987,62214.9,62413,62596.9,62773.2,62945.1,63114.1,63280.7,63445.6,63608.9,63770.9,63931.8,64091.8,64251,64409.6,64567.6,64725.3,64882.6,65039.8,65196.9,65353.9,65511.1,65668.4,65825.9,65983.8,66141.9,66300.5,66459.5,66619.1,66779.1,66939.8,67101.1,67263,67425.6,67588.9,67753,67917.8,68083.5,68249.9,68417.2,68585.3,68754.2,68924.1,69094.8,69266.4,69438.9,69612.4,69786.8,69962.1,70138.3,70315.5,70493.7,70672.8,70852.9,71034,71216,71399,71583,71767.9,71953.9,72140.8,72328.7,72517.6,72707.5,72898.3,73090.2,73283.1,73476.9,73671.7,73867.6,74064.4,74262.2,74461,74660.7,74861.5,75063.3,75268.7,75492.1,75743.3,76026.2,76341.6,76689.3,77068.2,77477.5,77915.9,78382.3,78875.7,79395.2,79939.8,80508.8,81101.3,81716.7,82354.4,83013.7,83694.1,84395.2,85116.6,85857.9,86618.8,87398.9,88198,89015.9,89852.5,90707.5,91580.8,92472.4,93382.2,94310.1,95256.1,96220.3,97202.6,98203.2,99222,100259,101315,102389,103483,104595,105726,106876,108046,109236,110446,111676,112926,114198,115490,116804,118139,119497,120877,122280,123706,125155,126628,128126,129648,131196,132784,134442,136135,137859,139612,141395,143210,145055,146931,148840,150781,152754,154762,156803,158878,160989,163135,165318,167518,169658,171709,173670,175546,177340,179057,180700,182273,183779,185221,186602,187925,189191,190404,191565,192676,193739,194756,195727,196656,197542,198387,199192,199958,200686,201378,202033,202652,203236,203787,204303,204786,205239,205670,206075,206453,206802,207123,207416,207679,207914,208121,208300,208451,208574,208669,208737,208778,208791,208777,208736,208669,208574,208453,208305,208131,207930,207703,207450,207171,206866,206535,206179,205796,205457,205062,204625,204152,203647,203113,202549,201958,201339,200692,200019,199318,198591,197838,197058,196257,195469,194717,194009,193349,192738,192172,191650,191169,190726,190318,189944,189600,189285,188996,188731,188489,188268,188066,187882,187714,187561,187422,187296,187181,187077,186983,186897,186819,186749,186685,186627,186574,186526,186482,186442,186404,186370,186337,186307,186278,186250,186223,186197,186171,186145,186118,186092,186064,186036,186007,185976,185944,185911,185876,185839,185800,185760,185717,185672,185624,185574,185522,185467,185409,185349,185286,185220,185151,185079,185004,184927,184846,184762,184675,184585,184491,184395,184295,184191,184085,183976,183864,183750,183633,183514,183393,183269,183143,183014,182882,182748,182610,182471,182328,182182,182034,181882,181728,181571,181411,181247,181081,180912,180740,180564,180386,180204,180020,179832,179641,179447,179250,179050,178847,178641,178431,178219,178003,177784,177562,177337,177109,176878,176644,176406,176166,175922,175675,175426,175173,174917,174658,174396,174131,173863,173592,173318,173041,172761,172478,172192,171903,171611,171317,171019,170718,170415,170109,169799,169487,169172,168855,168534,168211,167885,167556,167224,166890,166553,166213,165870,165525,165177,164826,164473,164117,163759,163398,163034,162668,162300,161928,161555,161178,160800,160419,160035,159649,159260,158870,158476,158081,157683,157283,156880,156475,156068,155659,155248,154834,154418,154000,153579,153157,152733,152306,151877,151447,151014,150579,150142,149703,149263,148820,148375,147929,147480,147030,146578,146124,145669,145211,144752,144291,143828,143364,142898,142430,141961,141490,141017,140543,140067,139590,139111,138631,138149,137666,137182,136696,136208,135720,135230,134738,134246,133752,133256,132760,132262
"Capacity delay","Year",5.5
"Capacity multiplier","Dmnl",1
"Carbon emission aversion","tonne/tonneCO2eq",0.08
