"Time","Year",2020,2020.06,2020.12,2020.19,2020.25,2020.31,2020.38,2020.44,2020.5,2020.56,2020.62,2020.69,2020.75,2020.81,2020.88,2020.94,2021,2021.06,2021.12,2021.19,2021.25,2021.31,2021.38,2021.44,2021.5,2021.56,2021.62,2021.69,2021.75,2021.81,2021.88,2021.94,2022,2022.06,2022.12,2022.19,2022.25,2022.31,2022.38,2022.44,2022.5,2022.56,2022.62,2022.69,2022.75,2022.81,2022.88,2022.94,2023,2023.06,2023.12,2023.19,2023.25,2023.31,2023.38,2023.44,2023.5,2023.56,2023.62,2023.69,2023.75,2023.81,2023.88,2023.94,2024,2024.06,2024.12,2024.19,2024.25,2024.31,2024.38,2024.44,2024.5,2024.56,2024.62,2024.69,2024.75,2024.81,2024.88,2024.94,2025,2025.06,2025.12,2025.19,2025.25,2025.31,2025.38,2025.44,2025.5,2025.56,2025.62,2025.69,2025.75,2025.81,2025.88,2025.94,2026,2026.06,2026.12,2026.19,2026.25,2026.31,2026.38,2026.44,2026.5,2026.56,2026.62,2026.69,2026.75,2026.81,2026.88,2026.94,2027,2027.06,2027.12,2027.19,2027.25,2027.31,2027.38,2027.44,2027.5,2027.56,2027.62,2027.69,2027.75,2027.81,2027.88,2027.94,2028,2028.06,2028.12,2028.19,2028.25,2028.31,2028.38,2028.44,2028.5,2028.56,2028.62,2028.69,2028.75,2028.81,2028.88,2028.94,2029,2029.06,2029.12,2029.19,2029.25,2029.31,2029.38,2029.44,2029.5,2029.56,2029.62,2029.69,2029.75,2029.81,2029.88,2029.94,2030,2030.06,2030.12,2030.19,2030.25,2030.31,2030.38,2030.44,2030.5,2030.56,2030.62,2030.69,2030.75,2030.81,2030.88,2030.94,2031,2031.06,2031.12,2031.19,2031.25,2031.31,2031.38,2031.44,2031.5,2031.56,2031.62,2031.69,2031.75,2031.81,2031.88,2031.94,2032,2032.06,2032.12,2032.19,2032.25,2032.31,2032.38,2032.44,2032.5,2032.56,2032.62,2032.69,2032.75,2032.81,2032.88,2032.94,2033,2033.06,2033.12,2033.19,2033.25,2033.31,2033.38,2033.44,2033.5,2033.56,2033.62,2033.69,2033.75,2033.81,2033.88,2033.94,2034,2034.06,2034.12,2034.19,2034.25,2034.31,2034.38,2034.44,2034.5,2034.56,2034.62,2034.69,2034.75,2034.81,2034.88,2034.94,2035,2035.06,2035.12,2035.19,2035.25,2035.31,2035.38,2035.44,2035.5,2035.56,2035.62,2035.69,2035.75,2035.81,2035.88,2035.94,2036,2036.06,2036.12,2036.19,2036.25,2036.31,2036.38,2036.44,2036.5,2036.56,2036.62,2036.69,2036.75,2036.81,2036.88,2036.94,2037,2037.06,2037.12,2037.19,2037.25,2037.31,2037.38,2037.44,2037.5,2037.56,2037.62,2037.69,2037.75,2037.81,2037.88,2037.94,2038,2038.06,2038.12,2038.19,2038.25,2038.31,2038.38,2038.44,2038.5,2038.56,2038.62,2038.69,2038.75,2038.81,2038.88,2038.94,2039,2039.06,2039.12,2039.19,2039.25,2039.31,2039.38,2039.44,2039.5,2039.56,2039.62,2039.69,2039.75,2039.81,2039.88,2039.94,2040,2040.06,2040.12,2040.19,2040.25,2040.31,2040.38,2040.44,2040.5,2040.56,2040.62,2040.69,2040.75,2040.81,2040.88,2040.94,2041,2041.06,2041.12,2041.19,2041.25,2041.31,2041.38,2041.44,2041.5,2041.56,2041.62,2041.69,2041.75,2041.81,2041.88,2041.94,2042,2042.06,2042.12,2042.19,2042.25,2042.31,2042.38,2042.44,2042.5,2042.56,2042.62,2042.69,2042.75,2042.81,2042.88,2042.94,2043,2043.06,2043.12,2043.19,2043.25,2043.31,2043.38,2043.44,2043.5,2043.56,2043.62,2043.69,2043.75,2043.81,2043.88,2043.94,2044,2044.06,2044.12,2044.19,2044.25,2044.31,2044.38,2044.44,2044.5,2044.56,2044.62,2044.69,2044.75,2044.81,2044.88,2044.94,2045,2045.06,2045.12,2045.19,2045.25,2045.31,2045.38,2045.44,2045.5,2045.56,2045.62,2045.69,2045.75,2045.81,2045.88,2045.94,2046,2046.06,2046.12,2046.19,2046.25,2046.31,2046.38,2046.44,2046.5,2046.56,2046.62,2046.69,2046.75,2046.81,2046.88,2046.94,2047,2047.06,2047.12,2047.19,2047.25,2047.31,2047.38,2047.44,2047.5,2047.56,2047.62,2047.69,2047.75,2047.81,2047.88,2047.94,2048,2048.06,2048.12,2048.19,2048.25,2048.31,2048.38,2048.44,2048.5,2048.56,2048.62,2048.69,2048.75,2048.81,2048.88,2048.94,2049,2049.06,2049.12,2049.19,2049.25,2049.31,2049.38,2049.44,2049.5,2049.56,2049.62,2049.69,2049.75,2049.81,2049.88,2049.94,2050
"Additional cost percentage","Dmnl",1.21
"Amplification factor","Dmnl",3
"Annual demand","tonne/Year",53200,53422.4,53668.4,53921.9,54175.9,54427.4,54675.3,54919.6,55160.1,55397.2,55631,55861.8,56089.9,56315.4,56538.6,56759.6,56978.8,57196.1,57411.9,57626.3,57839.3,58051.2,58262,58472,58681.1,58889.5,59097.3,59304.6,59511.4,59717.9,59924.1,60130,60335.8,60541.5,60747.2,60952.8,61158.5,61364.3,61570.2,61776.3,61982.7,62189.2,62396.1,62603.2,62810.7,63018.6,63226.9,63435.5,63644.6,63854.2,64064.2,64274.7,64485.8,64697.3,64909.4,65122.1,65335.3,65549.1,65763.4,65978.4,66194,66410.2,66627,66844.5,67062.6,67281.4,67500.9,67721,67941.8,68163.2,68385.4,68608.2,68831.8,69056,69281,69506.7,69733.1,69960.2,70188,70416.6,70645.9,70893.2,71179.4,71502.3,71860.1,72251.2,72674.1,73127.5,73610,74120.6,74658.2,75221.8,75810.5,76423.6,77060.2,77719.7,78401.4,79104.9,79829.6,80575,81340.8,82126.5,82932,83756.8,84600.8,85463.7,86345.5,87245.9,88164.8,89102.2,90058.1,91032.3,92025,93036.1,94065.7,95113.8,96180.6,97266.1,98370.5,99493.9,100637,101799,102980,104182,105403,106645,107907,109190,110494,111819,113167,114536,115928,117342,118779,120240,121725,123235,124768,126327,127912,129523,131160,132825,134521,136247,138004,139792,141611,143463,145347,147264,149215,151200,153220,155275,157367,159495,161660,163863,166105,168325,170445,172471,174406,176255,178023,179714,181332,182880,184361,185778,187134,188432,189675,190863,192000,193087,194126,195118,196066,196970,197831,198652,199433,200174,200878,201544,202173,202767,203326,203850,204340,204796,205220,205613,205975,206307,206610,206882,207126,207340,207526,207682,207810,207910,207982,208025,208040,208028,207988,207920,207825,207703,207553,207376,207172,206942,206684,206400,206089,205752,205389,205000,204584,204142,203674,203177,202652,202098,201515,200904,200266,199599,198905,198183,197434,196658,195855,195025,194169,193328,192552,191836,191175,190566,190004,189486,189010,188571,188168,187798,187458,187147,186861,186600,186360,186142,185942,185760,185594,185443,185305,185180,185066,184962,184868,184783,184705,184635,184570,184512,184458,184409,184364,184322,184283,184247,184213,184181,184149,184119,184090,184061,184033,184004,183975,183945,183914,183883,183850,183816,183781,183744,183705,183664,183621,183576,183529,183480,183428,183373,183316,183257,183194,183129,183061,182990,182916,182839,182759,182676,182590,182500,182408,182312,182213,182110,182005,181895,181783,181668,181550,181430,181308,181184,181057,180927,180795,180660,180523,180382,180239,180093,179944,179793,179638,179481,179320,179156,178990,178820,178647,178472,178293,178111,177926,177737,177546,177351,177154,176953,176749,176542,176332,176118,175902,175682,175459,175233,175004,174772,174536,174298,174056,173811,173563,173312,173058,172801,172540,172277,172010,171741,171468,171192,170914,170632,170347,170060,169769,169475,169178,168879,168576,168271,167962,167651,167337,167020,166700,166377,166051,165723,165391,165057,164720,164381,164039,163693,163346,162995,162642,162286,161927,161566,161202,160836,160467,160096,159721,159345,158966,158584,158200,157813,157424,157033,156639,156242,155844,155443,155039,154634,154226,153815,153403,152988,152571,152152,151730,151307,150881,150453,150023,149591,149157,148721,148282,147842,147400,146956,146510,146062,145612,145160,144706,144250,143793,143334,142873,142410,141946,141479,141011,140542,140071,139598,139123,138647,138169,137690,137210,136727,136244,135758,135272,134784,134294,133803,133311,132818,132323,131827,131330,130831,130331,129830,129328,128824,128320
"Annual emissions","tonneCO2eq/Year",4.1418E+06,4.12122E+06,4.09017E+06,4.05498E+06,4.0185E+06,3.98195E+06,3.94583E+06,3.91033E+06,3.87552E+06,3.84142E+06,3.80802E+06,3.77531E+06,3.74326E+06,3.71186E+06,3.68108E+06,3.65092E+06,3.62135E+06,3.59235E+06,3.5639E+06,3.536E+06,3.50863E+06,3.48177E+06,3.4554E+06,3.42952E+06,3.40411E+06,3.37916E+06,3.35466E+06,3.33059E+06,3.30694E+06,3.28371E+06,3.26088E+06,3.23845E+06,3.21639E+06,3.19471E+06,3.1734E+06,3.15244E+06,3.13183E+06,3.11156E+06,3.09161E+06,3.072E+06,3.05269E+06,3.0337E+06,3.01501E+06,2.99662E+06,2.97851E+06,2.96068E+06,2.94313E+06,2.92586E+06,2.90884E+06,2.89208E+06,2.87558E+06,2.85932E+06,2.84331E+06,2.82753E+06,2.81199E+06,2.79667E+06,2.78158E+06,2.7667E+06,2.75204E+06,2.73759E+06,2.72334E+06,2.7093E+06,2.69545E+06,2.6818E+06,2.66834E+06,2.65506E+06,2.64196E+06,2.62905E+06,2.61631E+06,2.60374E+06,2.59134E+06,2.57911E+06,2.56704E+06,2.55513E+06,2.54338E+06,2.53179E+06,2.52034E+06,2.50904E+06,2.49789E+06,2.48688E+06,2.47602E+06,2.4653E+06,2.45478E+06,2.4445E+06,2.43447E+06,2.4247E+06,2.41519E+06,2.40594E+06,2.39693E+06,2.38818E+06,2.37966E+06,2.37139E+06,2.36336E+06,2.35555E+06,2.34798E+06,2.34063E+06,2.33349E+06,2.32657E+06,2.31987E+06,2.31337E+06,2.30707E+06,2.30098E+06,2.29508E+06,2.28937E+06,2.28385E+06,2.27852E+06,2.27338E+06,2.26841E+06,2.26362E+06,2.259E+06,2.25456E+06,2.25028E+06,2.24618E+06,2.24228E+06,2.23858E+06,2.23508E+06,2.23177E+06,2.22866E+06,2.22573E+06,2.22298E+06,2.22041E+06,2.21802E+06,2.2158E+06,2.21375E+06,2.21186E+06,2.21014E+06,2.20858E+06,2.20717E+06,2.20592E+06,2.20482E+06,2.20387E+06,2.20307E+06,2.20241E+06,2.2019E+06,2.20152E+06,2.20129E+06,2.20119E+06,2.20122E+06,2.20139E+06,2.20169E+06,2.20212E+06,2.20268E+06,2.20337E+06,2.20417E+06,2.20506E+06,2.206E+06,2.207E+06,2.20805E+06,2.20915E+06,2.2103E+06,2.21151E+06,2.21278E+06,2.2141E+06,2.21547E+06,2.21691E+06,2.2184E+06,2.21995E+06,2.22155E+06,2.22322E+06,2.22495E+06,2.22674E+06,2.22858E+06,2.23043E+06,2.23227E+06,2.23411E+06,2.23594E+06,2.23776E+06,2.23956E+06,2.24136E+06,2.24315E+06,2.24493E+06,2.24671E+06,2.24847E+06,2.25022E+06,2.25196E+06,2.2537E+06,2.25542E+06,2.25714E+06,2.25884E+06,2.26053E+06,2.26222E+06,2.26389E+06,2.26555E+06,2.26721E+06,2.26885E+06,2.27047E+06,2.27209E+06,2.2737E+06,2.27529E+06,2.27687E+06,2.27844E+06,2.27999E+06,2.28153E+06,2.28305E+06,2.28456E+06,2.28605E+06,2.2875E+06,2.28892E+06,2.29029E+06,2.29163E+06,2.29293E+06,2.29419E+06,2.2954E+06,2.29657E+06,2.29771E+06,2.29879E+06,2.29983E+06,2.30083E+06,2.30178E+06,2.30269E+06,2.30355E+06,2.30436E+06,2.30512E+06,2.30583E+06,2.3065E+06,2.30711E+06,2.30767E+06,2.30817E+06,2.30863E+06,2.30902E+06,2.30937E+06,2.30965E+06,2.30988E+06,2.31005E+06,2.31016E+06,2.31021E+06,2.31037E+06,2.31043E+06,2.31041E+06,2.31032E+06,2.31016E+06,2.30992E+06,2.30962E+06,2.30925E+06,2.30881E+06,2.30829E+06,2.3077E+06,2.30704E+06,2.30631E+06,2.30549E+06,2.3046E+06,2.30365E+06,2.30266E+06,2.30167E+06,2.3007E+06,2.29975E+06,2.29883E+06,2.29793E+06,2.29705E+06,2.2962E+06,2.29537E+06,2.29456E+06,2.29377E+06,2.29299E+06,2.29223E+06,2.29148E+06,2.29075E+06,2.29002E+06,2.28931E+06,2.2886E+06,2.2879E+06,2.28721E+06,2.28652E+06,2.28584E+06,2.28516E+06,2.28449E+06,2.28381E+06,2.28314E+06,2.28247E+06,2.2818E+06,2.28112E+06,2.28045E+06,2.27977E+06,2.27909E+06,2.27841E+06,2.27773E+06,2.27704E+06,2.27635E+06,2.27565E+06,2.27494E+06,2.27424E+06,2.27352E+06,2.2728E+06,2.27207E+06,2.27134E+06,2.2706E+06,2.26985E+06,2.2691E+06,2.26833E+06,2.26756E+06,2.26678E+06,2.26599E+06,2.2652E+06,2.26439E+06,2.26358E+06,2.26276E+06,2.26192E+06,2.26108E+06,2.26023E+06,2.25937E+06,2.2585E+06,2.25762E+06,2.25672E+06,2.25582E+06,2.25491E+06,2.25399E+06,2.25306E+06,2.25211E+06,2.25116E+06,2.25019E+06,2.24922E+06,2.24823E+06,2.24723E+06,2.24622E+06,2.2452E+06,2.24417E+06,2.24313E+06,2.24207E+06,2.24101E+06,2.23993E+06,2.23884E+06,2.23774E+06,2.23663E+06,2.2355E+06,2.23437E+06,2.23322E+06,2.23207E+06,2.2309E+06,2.22972E+06,2.22853E+06,2.22734E+06,2.22612E+06,2.2249E+06,2.22367E+06,2.22243E+06,2.22117E+06,2.2199E+06,2.21862E+06,2.21733E+06,2.21603E+06,2.21472E+06,2.21339E+06,2.21205E+06,2.2107E+06,2.20934E+06,2.20797E+06,2.20658E+06,2.20518E+06,2.20377E+06,2.20235E+06,2.20091E+06,2.19947E+06,2.19801E+06,2.19653E+06,2.19505E+06,2.19355E+06,2.19204E+06,2.19051E+06,2.18898E+06,2.18743E+06,2.18587E+06,2.18429E+06,2.1827E+06,2.1811E+06,2.17949E+06,2.17786E+06,2.17622E+06,2.17456E+06,2.17289E+06,2.17121E+06,2.16952E+06,2.16781E+06,2.16609E+06,2.16435E+06,2.1626E+06,2.16084E+06,2.15906E+06,2.15727E+06,2.15547E+06,2.15365E+06,2.15182E+06,2.14997E+06,2.14811E+06,2.14624E+06,2.14435E+06,2.14245E+06,2.14053E+06,2.1386E+06,2.13666E+06,2.1347E+06,2.13272E+06,2.13074E+06,2.12873E+06,2.12672E+06,2.12468E+06,2.12264E+06,2.12058E+06,2.1185E+06,2.11641E+06,2.11431E+06,2.11219E+06,2.11006E+06,2.10791E+06,2.10574E+06,2.10357E+06,2.10137E+06,2.09916E+06,2.09694E+06,2.0947E+06,2.09245E+06,2.09018E+06,2.0879E+06,2.0856E+06,2.08328E+06,2.08095E+06,2.07861E+06,2.07625E+06,2.07388E+06,2.07149E+06,2.06908E+06,2.06666E+06,2.06422E+06,2.06177E+06,2.0593E+06,2.05682E+06,2.05432E+06,2.05181E+06,2.04928E+06,2.04674E+06,2.04418E+06,2.0416E+06,2.03901E+06,2.0364E+06,2.03378E+06,2.03114E+06,2.02848E+06,2.02581E+06,2.02313E+06,2.02042E+06,2.01771E+06,2.01497E+06,2.01222E+06,2.00946E+06,2.00668E+06,2.00388E+06,2.00107E+06,1.99824E+06,1.99539E+06,1.99253E+06,1.98966E+06,1.98676E+06,1.98385E+06,1.98093E+06,1.97799E+06,1.97503E+06,1.97206E+06,1.96907E+06,1.96607E+06,1.96304E+06,1.96001E+06,1.95695E+06,1.95388E+06,1.9508E+06,1.9477E+06,1.94458E+06,1.94145E+06,1.9383E+06,1.93513E+06,1.93195E+06,1.92875E+06,1.92553E+06,1.9223E+06,1.91906E+06,1.91579E+06,1.91252E+06,1.90922E+06,1.90591E+06,1.90258E+06,1.89924E+06,1.89588E+06,1.8925E+06
""Annual supply (tonne/year)"","tonne/Year",55753.6,58921,60467.5,61250.5,61693.3,61987,62214.9,62413,62596.9,62773.2,62945.1,63114.1,63280.7,63445.6,63608.9,63770.9,63931.8,64091.8,64251,64409.6,64567.6,64725.3,64882.6,65039.8,65196.9,65353.9,65511.1,65668.4,65825.9,65983.8,66141.9,66300.5,66459.5,66619.1,66779.1,66939.8,67101.1,67263,67425.6,67588.9,67753,67917.8,68083.5,68249.9,68417.2,68585.3,68754.2,68924.1,69094.8,69266.4,69438.9,69612.4,69786.8,69962.1,70138.3,70315.5,70493.7,70672.8,70852.9,71034,71216,71399,71583,71767.9,71953.9,72140.8,72328.7,72517.6,72707.5,72898.3,73090.2,73283.1,73476.9,73671.7,73867.6,74064.4,74262.2,74461,74660.7,74861.5,75063.3,75268.7,75492.1,75743.3,76026.2,76341.6,76689.3,77068.2,77477.5,77915.9,78382.3,78875.7,79395.2,79939.8,80508.8,81101.3,81716.7,82354.4,83013.7,83694.1,84395.2,85116.6,85857.9,86618.8,87398.9,88198,89015.9,89852.5,90707.5,91580.8,92472.4,93382.2,94310.1,95256.1,96220.3,97202.6,98203.2,99222,100259,101315,102389,103483,104595,105726,106876,108046,109236,110446,111676,112926,114198,115490,116804,118139,119497,120877,122280,123706,125155,126628,128126,129648,131196,132784,134442,136135,137859,139612,141395,143210,145055,146931,148840,150781,152754,154762,156803,158878,160989,163135,165318,167518,169658,171709,173670,175546,177340,179057,180700,182273,183779,185221,186602,187925,189191,190404,191565,192676,193739,194756,195727,196656,197542,198387,199192,199958,200686,201378,202032,202652,203236,203786,204303,204786,205239,205669,206075,206452,206802,207123,207415,207679,207914,208121,208299,208450,208573,208668,208736,208777,208790,208776,208735,208667,208572,208451,208303,208129,207928,207701,207448,207169,206863,206532,206176,205793,205454,205059,204621,204148,203643,203109,202545,201954,201334,200688,200014,199313,198586,197832,197052,196252,195464,194711,194003,193343,192732,192166,191644,191162,190719,190312,189937,189593,189278,188989,188724,188482,188260,188058,187874,187706,187553,187414,187288,187173,187069,186974,186888,186811,186740,186676,186618,186565,186517,186473,186432,186395,186360,186328,186297,186268,186240,186213,186187,186161,186135,186108,186081,186054,186026,185996,185966,185934,185900,185865,185829,185790,185749,185706,185661,185613,185563,185511,185456,185398,185338,185275,185209,185140,185068,184993,184915,184835,184751,184663,184573,184480,184383,184283,184180,184074,183964,183853,183738,183622,183503,183382,183258,183131,183002,182870,182736,182599,182459,182316,182171,182022,181871,181716,181559,181399,181236,181070,180900,180728,180553,180374,180193,180008,179820,179630,179436,179239,179039,178836,178629,178420,178207,177991,177773,177551,177326,177098,176866,176632,176395,176154,175911,175664,175414,175161,174905,174647,174385,174120,173852,173581,173307,173030,172750,172467,172181,171892,171600,171305,171008,170707,170404,170097,169788,169476,169161,168844,168523,168200,167874,167545,167213,166879,166542,166202,165859,165514,165166,164816,164462,164107,163748,163387,163024,162657,162289,161918,161544,161168,160789,160408,160024,159638,159250,158859,158466,158070,157672,157272,156870,156465,156058,155649,155237,154823,154407,153989,153569,153147,152722,152296,151867,151436,151004,150569,150132,149693,149253,148810,148365,147919,147470,147020,146568,146114,145659,145201,144742,144281,143818,143354,142888,142420,141951,141480,141007,140533,140058,139580,139102,138622,138140,137657,137172,136686,136199,135710,135220,134729,134236,133742,133247,132751,132253
"Available supply","tonne/Year",55753.6,58921,60467.5,61250.5,61693.3,61987,62214.9,62413,62596.9,62773.2,62945.1,63114.1,63280.7,63445.6,63608.9,63770.9,63931.8,64091.8,64251,64409.6,64567.6,64725.3,64882.6,65039.8,65196.9,65353.9,65511.1,65668.4,65825.9,65983.8,66141.9,66300.5,66459.5,66619.1,66779.1,66939.8,67101.1,67263,67425.6,67588.9,67753,67917.8,68083.5,68249.9,68417.2,68585.3,68754.2,68924.1,69094.8,69266.4,69438.9,69612.4,69786.8,69962.1,70138.3,70315.5,70493.7,70672.8,70852.9,71034,71216,71399,71583,71767.9,71953.9,72140.8,72328.7,72517.6,72707.5,72898.3,73090.2,73283.1,73476.9,73671.7,73867.6,74064.4,74262.2,74461,74660.7,74861.5,75063.3,75268.7,75492.1,75743.3,76026.2,76341.6,76689.3,77068.2,77477.5,77915.9,78382.3,78875.7,79395.2,79939.8,80508.8,81101.3,81716.7,82354.4,83013.7,83694.1,84395.2,85116.6,85857.9,86618.8,87398.9,88198,89015.9,89852.5,90707.5,91580.8,92472.4,93382.2,94310.1,95256.1,96220.3,97202.6,98203.2,99222,100259,101315,102389,103483,104595,105726,106876,108046,109236,110446,111676,112926,114198,115490,116804,118139,119497,120877,122280,123706,125155,126628,128126,129648,131196,132784,134442,136135,137859,139612,141395,143210,145055,146931,148840,150781,152754,154762,156803,158878,160989,163135,165318,167518,169658,171709,173670,175546,177340,179057,180700,182273,183779,185221,186602,187925,189191,190404,191565,192676,193739,194756,195727,196656,197542,198387,199192,199958,200686,201378,202032,202652,203236,203786,204303,204786,205239,205669,206075,206452,206802,207123,207415,207679,207914,208121,208299,208450,208573,208668,208736,208777,208790,208776,208735,208667,208572,208451,208303,208129,207928,207701,207448,207169,206863,206532,206176,205793,205454,205059,204621,204148,203643,203109,202545,201954,201334,200688,200014,199313,198586,197832,197052,196252,195464,194711,194003,193343,192732,192166,191644,191162,190719,190312,189937,189593,189278,188989,188724,188482,188260,188058,187874,187706,187553,187414,187288,187173,187069,186974,186888,186811,186740,186676,186618,186565,186517,186473,186432,186395,186360,186328,186297,186268,186240,186213,186187,186161,186135,186108,186081,186054,186026,185996,185966,185934,185900,185865,185829,185790,185749,185706,185661,185613,185563,185511,185456,185398,185338,185275,185209,185140,185068,184993,184915,184835,184751,184663,184573,184480,184383,184283,184180,184074,183964,183853,183738,183622,183503,183382,183258,183131,183002,182870,182736,182599,182459,182316,182171,182022,181871,181716,181559,181399,181236,181070,180900,180728,180553,180374,180193,180008,179820,179630,179436,179239,179039,178836,178629,178420,178207,177991,177773,177551,177326,177098,176866,176632,176395,176154,175911,175664,175414,175161,174905,174647,174385,174120,173852,173581,173307,173030,172750,172467,172181,171892,171600,171305,171008,170707,170404,170097,169788,169476,169161,168844,168523,168200,167874,167545,167213,166879,166542,166202,165859,165514,165166,164816,164462,164107,163748,163387,163024,162657,162289,161918,161544,161168,160789,160408,160024,159638,159250,158859,158466,158070,157672,157272,156870,156465,156058,155649,155237,154823,154407,153989,153569,153147,152722,152296,151867,151436,151004,150569,150132,149693,149253,148810,148365,147919,147470,147020,146568,146114,145659,145201,144742,144281,143818,143354,142888,142420,141951,141480,141007,140533,140058,139580,139102,138622,138140,137657,137172,136686,136199,135710,135220,134729,134236,133742,133247,132751,132253
"Capacity delay","Year",5.5
"Capacity multiplier","Dmnl",1
"Carbon emission aversion","tonne/tonneCO2eq",0.08
