"Time","Year",2020,2020.06,2020.12,2020.19,2020.25,2020.31,2020.38,2020.44,2020.5,2020.56,2020.62,2020.69,2020.75,2020.81,2020.88,2020.94,2021,2021.06,2021.12,2021.19,2021.25,2021.31,2021.38,2021.44,2021.5,2021.56,2021.62,2021.69,2021.75,2021.81,2021.88,2021.94,2022,2022.06,2022.12,2022.19,2022.25,2022.31,2022.38,2022.44,2022.5,2022.56,2022.62,2022.69,2022.75,2022.81,2022.88,2022.94,2023,2023.06,2023.12,2023.19,2023.25,2023.31,2023.38,2023.44,2023.5,2023.56,2023.62,2023.69,2023.75,2023.81,2023.88,2023.94,2024,2024.06,2024.12,2024.19,2024.25,2024.31,2024.38,2024.44,2024.5,2024.56,2024.62,2024.69,2024.75,2024.81,2024.88,2024.94,2025,2025.06,2025.12,2025.19,2025.25,2025.31,2025.38,2025.44,2025.5,2025.56,2025.62,2025.69,2025.75,2025.81,2025.88,2025.94,2026,2026.06,2026.12,2026.19,2026.25,2026.31,2026.38,2026.44,2026.5,2026.56,2026.62,2026.69,2026.75,2026.81,2026.88,2026.94,2027,2027.06,2027.12,2027.19,2027.25,2027.31,2027.38,2027.44,2027.5,2027.56,2027.62,2027.69,2027.75,2027.81,2027.88,2027.94,2028,2028.06,2028.12,2028.19,2028.25,2028.31,2028.38,2028.44,2028.5,2028.56,2028.62,2028.69,2028.75,2028.81,2028.88,2028.94,2029,2029.06,2029.12,2029.19,2029.25,2029.31,2029.38,2029.44,2029.5,2029.56,2029.62,2029.69,2029.75,2029.81,2029.88,2029.94,2030,2030.06,2030.12,2030.19,2030.25,2030.31,2030.38,2030.44,2030.5,2030.56,2030.62,2030.69,2030.75,2030.81,2030.88,2030.94,2031,2031.06,2031.12,2031.19,2031.25,2031.31,2031.38,2031.44,2031.5,2031.56,2031.62,2031.69,2031.75,2031.81,2031.88,2031.94,2032,2032.06,2032.12,2032.19,2032.25,2032.31,2032.38,2032.44,2032.5,2032.56,2032.62,2032.69,2032.75,2032.81,2032.88,2032.94,2033,2033.06,2033.12,2033.19,2033.25,2033.31,2033.38,2033.44,2033.5,2033.56,2033.62,2033.69,2033.75,2033.81,2033.88,2033.94,2034,2034.06,2034.12,2034.19,2034.25,2034.31,2034.38,2034.44,2034.5,2034.56,2034.62,2034.69,2034.75,2034.81,2034.88,2034.94,2035,2035.06,2035.12,2035.19,2035.25,2035.31,2035.38,2035.44,2035.5,2035.56,2035.62,2035.69,2035.75,2035.81,2035.88,2035.94,2036,2036.06,2036.12,2036.19,2036.25,2036.31,2036.38,2036.44,2036.5,2036.56,2036.62,2036.69,2036.75,2036.81,2036.88,2036.94,2037,2037.06,2037.12,2037.19,2037.25,2037.31,2037.38,2037.44,2037.5,2037.56,2037.62,2037.69,2037.75,2037.81,2037.88,2037.94,2038,2038.06,2038.12,2038.19,2038.25,2038.31,2038.38,2038.44,2038.5,2038.56,2038.62,2038.69,2038.75,2038.81,2038.88,2038.94,2039,2039.06,2039.12,2039.19,2039.25,2039.31,2039.38,2039.44,2039.5,2039.56,2039.62,2039.69,2039.75,2039.81,2039.88,2039.94,2040,2040.06,2040.12,2040.19,2040.25,2040.31,2040.38,2040.44,2040.5,2040.56,2040.62,2040.69,2040.75,2040.81,2040.88,2040.94,2041,2041.06,2041.12,2041.19,2041.25,2041.31,2041.38,2041.44,2041.5,2041.56,2041.62,2041.69,2041.75,2041.81,2041.88,2041.94,2042,2042.06,2042.12,2042.19,2042.25,2042.31,2042.38,2042.44,2042.5,2042.56,2042.62,2042.69,2042.75,2042.81,2042.88,2042.94,2043,2043.06,2043.12,2043.19,2043.25,2043.31,2043.38,2043.44,2043.5,2043.56,2043.62,2043.69,2043.75,2043.81,2043.88,2043.94,2044,2044.06,2044.12,2044.19,2044.25,2044.31,2044.38,2044.44,2044.5,2044.56,2044.62,2044.69,2044.75,2044.81,2044.88,2044.94,2045,2045.06,2045.12,2045.19,2045.25,2045.31,2045.38,2045.44,2045.5,2045.56,2045.62,2045.69,2045.75,2045.81,2045.88,2045.94,2046,2046.06,2046.12,2046.19,2046.25,2046.31,2046.38,2046.44,2046.5,2046.56,2046.62,2046.69,2046.75,2046.81,2046.88,2046.94,2047,2047.06,2047.12,2047.19,2047.25,2047.31,2047.38,2047.44,2047.5,2047.56,2047.62,2047.69,2047.75,2047.81,2047.88,2047.94,2048,2048.06,2048.12,2048.19,2048.25,2048.31,2048.38,2048.44,2048.5,2048.56,2048.62,2048.69,2048.75,2048.81,2048.88,2048.94,2049,2049.06,2049.12,2049.19,2049.25,2049.31,2049.38,2049.44,2049.5,2049.56,2049.62,2049.69,2049.75,2049.81,2049.88,2049.94,2050
"Additional cost percentage","Dmnl",1.21
"Amplification factor","Dmnl",3
"Annual demand","tonne/Year",53200,53422.4,53668.4,53921.9,54175.9,54427.4,54675.3,54919.6,55160.1,55397.2,55631,55861.8,56089.9,56315.4,56538.6,56759.6,56978.8,57196.1,57411.9,57626.3,57839.3,58051.2,58262,58472,58681.1,58889.5,59097.3,59304.6,59511.4,59717.9,59924.1,60130,60335.8,60541.5,60747.2,60952.8,61158.5,61364.3,61570.2,61776.3,61982.7,62189.2,62396.1,62603.2,62810.7,63018.6,63226.9,63435.5,63644.6,63854.2,64064.2,64274.7,64485.8,64697.3,64909.4,65122.1,65335.3,65549.1,65763.4,65978.4,66194,66410.2,66627,66844.5,67062.6,67281.4,67500.9,67721,67941.8,68163.2,68385.4,68608.2,68831.8,69056,69281,69506.7,69733.1,69960.2,70188,70416.6,70645.9,70893.2,71179.4,71502.3,71860.1,72251.2,72674.1,73127.5,73610,74120.6,74658.2,75221.8,75810.5,76423.6,77060.2,77719.7,78401.4,79104.9,79829.6,80575,81340.8,82126.5,82932,83756.8,84600.8,85463.7,86345.5,87245.9,88164.8,89102.2,90058.1,91032.3,92025,93036.1,94065.7,95113.8,96180.6,97266.1,98370.5,99493.9,100637,101799,102980,104182,105403,106645,107907,109190,110494,111819,113167,114536,115928,117342,118779,120240,121725,123235,124768,126327,127912,129523,131160,132825,134521,136247,138004,139792,141611,143463,145347,147264,149215,151200,153220,155275,157367,159495,161660,163863,166105,168325,170445,172471,174406,176255,178023,179714,181332,182880,184361,185778,187134,188432,189675,190863,192000,193087,194126,195118,196066,196970,197831,198652,199433,200174,200878,201544,202173,202767,203326,203850,204340,204796,205220,205613,205975,206307,206610,206882,207126,207340,207526,207682,207810,207910,207981,208025,208040,208028,207988,207920,207825,207702,207553,207376,207172,206941,206684,206400,206089,205752,205389,204999,204584,204142,203674,203177,202651,202097,201514,200904,200265,199598,198904,198182,197433,196657,195854,195024,194168,193327,192551,191835,191174,190565,190003,189485,189009,188570,188167,187797,187457,187146,186860,186598,186359,186141,185941,185759,185593,185441,185304,185178,185064,184961,184867,184781,184704,184633,184569,184510,184457,184408,184362,184321,184282,184246,184211,184179,184148,184118,184089,184060,184031,184002,183973,183943,183913,183881,183848,183814,183779,183742,183703,183662,183619,183575,183527,183478,183426,183372,183315,183255,183192,183127,183059,182988,182914,182837,182757,182674,182588,182498,182406,182310,182211,182108,182002,181893,181781,181666,181548,181428,181306,181182,181055,180925,180793,180658,180520,180380,180237,180091,179942,179791,179636,179478,179318,179154,178988,178818,178645,178469,178290,178108,177923,177735,177544,177349,177152,176951,176747,176540,176329,176116,175899,175680,175457,175231,175002,174769,174534,174295,174054,173809,173561,173310,173056,172798,172538,172274,172008,171738,171466,171190,170911,170630,170345,170057,169766,169473,169176,168876,168574,168268,167960,167649,167334,167017,166697,166374,166049,165720,165389,165055,164718,164378,164036,163691,163343,162993,162639,162284,161925,161564,161200,160834,160465,160093,159719,159342,158963,158581,158197,157811,157422,157030,156636,156240,155841,155440,155037,154631,154223,153813,153400,152985,152568,152149,151728,151304,150878,150451,150021,149589,149154,148718,148280,147840,147398,146953,146507,146059,145609,145157,144704,144248,143791,143331,142870,142408,141943,141477,141009,140539,140068,139595,139121,138645,138167,137688,137207,136725,136241,135756,135269,134781,134292,133801,133309,132815,132321,131824,131327,130829,130329,129828,129325,128822,128318
"Annual emissions","tonneCO2eq/Year",4.1418E+06,4.12167E+06,4.09107E+06,4.05634E+06,4.02032E+06,3.98423E+06,3.94857E+06,3.91353E+06,3.87919E+06,3.84556E+06,3.81263E+06,3.78039E+06,3.74882E+06,3.7179E+06,3.68761E+06,3.65792E+06,3.62884E+06,3.60032E+06,3.57237E+06,3.54497E+06,3.51809E+06,3.49172E+06,3.46586E+06,3.44048E+06,3.41558E+06,3.39113E+06,3.36714E+06,3.34359E+06,3.32046E+06,3.29774E+06,3.27543E+06,3.25352E+06,3.23199E+06,3.21084E+06,3.19006E+06,3.16963E+06,3.14956E+06,3.12982E+06,3.11042E+06,3.09135E+06,3.07259E+06,3.05414E+06,3.036E+06,3.01816E+06,3.00061E+06,2.98334E+06,2.96635E+06,2.94964E+06,2.93319E+06,2.917E+06,2.90107E+06,2.88538E+06,2.86995E+06,2.85475E+06,2.83979E+06,2.82505E+06,2.81054E+06,2.79626E+06,2.78219E+06,2.76833E+06,2.75468E+06,2.74123E+06,2.72799E+06,2.71494E+06,2.70208E+06,2.68941E+06,2.67693E+06,2.66463E+06,2.65251E+06,2.64056E+06,2.62878E+06,2.61717E+06,2.60573E+06,2.59445E+06,2.58333E+06,2.57237E+06,2.56156E+06,2.55091E+06,2.5404E+06,2.53003E+06,2.51981E+06,2.50975E+06,2.49988E+06,2.49026E+06,2.48089E+06,2.47178E+06,2.46293E+06,2.45434E+06,2.446E+06,2.43791E+06,2.43008E+06,2.42248E+06,2.41512E+06,2.408E+06,2.40111E+06,2.39444E+06,2.388E+06,2.38177E+06,2.37575E+06,2.36995E+06,2.36435E+06,2.35896E+06,2.35376E+06,2.34876E+06,2.34396E+06,2.33934E+06,2.3349E+06,2.33065E+06,2.32658E+06,2.32269E+06,2.31897E+06,2.31542E+06,2.31203E+06,2.30882E+06,2.30577E+06,2.30287E+06,2.30014E+06,2.29756E+06,2.29514E+06,2.29287E+06,2.29075E+06,2.28878E+06,2.28695E+06,2.28527E+06,2.28373E+06,2.28234E+06,2.28108E+06,2.27996E+06,2.27897E+06,2.27812E+06,2.27741E+06,2.27683E+06,2.27637E+06,2.27605E+06,2.27586E+06,2.27579E+06,2.27585E+06,2.27604E+06,2.27635E+06,2.27678E+06,2.27734E+06,2.27802E+06,2.27882E+06,2.27973E+06,2.28072E+06,2.28177E+06,2.28286E+06,2.284E+06,2.28519E+06,2.28643E+06,2.28773E+06,2.28907E+06,2.29047E+06,2.29192E+06,2.29343E+06,2.29499E+06,2.2966E+06,2.29828E+06,2.30001E+06,2.30181E+06,2.30366E+06,2.30556E+06,2.30748E+06,2.30938E+06,2.31128E+06,2.31317E+06,2.31505E+06,2.31691E+06,2.31877E+06,2.32061E+06,2.32245E+06,2.32427E+06,2.32608E+06,2.32789E+06,2.32968E+06,2.33146E+06,2.33323E+06,2.33498E+06,2.33673E+06,2.33846E+06,2.34018E+06,2.34189E+06,2.34359E+06,2.34527E+06,2.34694E+06,2.3486E+06,2.35025E+06,2.35188E+06,2.35349E+06,2.35509E+06,2.35668E+06,2.35825E+06,2.3598E+06,2.36134E+06,2.36286E+06,2.36436E+06,2.36582E+06,2.36724E+06,2.36862E+06,2.36995E+06,2.37125E+06,2.3725E+06,2.37371E+06,2.37487E+06,2.37599E+06,2.37706E+06,2.37809E+06,2.37906E+06,2.37999E+06,2.38087E+06,2.3817E+06,2.38248E+06,2.3832E+06,2.38388E+06,2.3845E+06,2.38506E+06,2.38557E+06,2.38602E+06,2.38642E+06,2.38675E+06,2.38703E+06,2.38725E+06,2.3874E+06,2.3875E+06,2.38753E+06,2.38749E+06,2.38757E+06,2.38754E+06,2.38742E+06,2.38723E+06,2.38696E+06,2.38662E+06,2.3862E+06,2.38571E+06,2.38514E+06,2.3845E+06,2.38377E+06,2.38297E+06,2.38209E+06,2.38112E+06,2.38007E+06,2.37895E+06,2.37779E+06,2.37663E+06,2.37548E+06,2.37434E+06,2.37323E+06,2.37213E+06,2.37106E+06,2.37001E+06,2.36897E+06,2.36795E+06,2.36694E+06,2.36595E+06,2.36497E+06,2.36401E+06,2.36305E+06,2.3621E+06,2.36116E+06,2.36023E+06,2.3593E+06,2.35838E+06,2.35746E+06,2.35654E+06,2.35563E+06,2.35472E+06,2.35381E+06,2.3529E+06,2.35199E+06,2.35108E+06,2.35017E+06,2.34926E+06,2.34835E+06,2.34743E+06,2.34651E+06,2.34558E+06,2.34465E+06,2.34372E+06,2.34278E+06,2.34183E+06,2.34088E+06,2.33993E+06,2.33896E+06,2.33799E+06,2.33702E+06,2.33603E+06,2.33504E+06,2.33404E+06,2.33304E+06,2.33202E+06,2.331E+06,2.32997E+06,2.32893E+06,2.32788E+06,2.32682E+06,2.32575E+06,2.32468E+06,2.32359E+06,2.32249E+06,2.32139E+06,2.32027E+06,2.31915E+06,2.31801E+06,2.31686E+06,2.3157E+06,2.31453E+06,2.31336E+06,2.31217E+06,2.31096E+06,2.30975E+06,2.30853E+06,2.30729E+06,2.30605E+06,2.30479E+06,2.30352E+06,2.30224E+06,2.30095E+06,2.29964E+06,2.29832E+06,2.29699E+06,2.29565E+06,2.2943E+06,2.29294E+06,2.29156E+06,2.29017E+06,2.28877E+06,2.28736E+06,2.28594E+06,2.28451E+06,2.28306E+06,2.28161E+06,2.28014E+06,2.27866E+06,2.27717E+06,2.27567E+06,2.27415E+06,2.27263E+06,2.27109E+06,2.26954E+06,2.26797E+06,2.2664E+06,2.26481E+06,2.26321E+06,2.26159E+06,2.25997E+06,2.25833E+06,2.25667E+06,2.25501E+06,2.25333E+06,2.25164E+06,2.24994E+06,2.24822E+06,2.24649E+06,2.24474E+06,2.24299E+06,2.24122E+06,2.23943E+06,2.23763E+06,2.23582E+06,2.234E+06,2.23216E+06,2.2303E+06,2.22844E+06,2.22656E+06,2.22466E+06,2.22275E+06,2.22083E+06,2.21889E+06,2.21694E+06,2.21497E+06,2.21299E+06,2.211E+06,2.20899E+06,2.20697E+06,2.20493E+06,2.20287E+06,2.20081E+06,2.19872E+06,2.19663E+06,2.19452E+06,2.19239E+06,2.19025E+06,2.18809E+06,2.18592E+06,2.18373E+06,2.18153E+06,2.17931E+06,2.17707E+06,2.17483E+06,2.17256E+06,2.17028E+06,2.16799E+06,2.16568E+06,2.16335E+06,2.16101E+06,2.15865E+06,2.15628E+06,2.15389E+06,2.15149E+06,2.14906E+06,2.14663E+06,2.14418E+06,2.14171E+06,2.13922E+06,2.13672E+06,2.1342E+06,2.13167E+06,2.12912E+06,2.12656E+06,2.12397E+06,2.12138E+06,2.11876E+06,2.11613E+06,2.11348E+06,2.11082E+06,2.10814E+06,2.10544E+06,2.10273E+06,2.1E+06,2.09725E+06,2.09448E+06,2.0917E+06,2.08891E+06,2.08609E+06,2.08326E+06,2.08041E+06,2.07755E+06,2.07466E+06,2.07176E+06,2.06885E+06,2.06592E+06,2.06296E+06,2.06E+06,2.05701E+06,2.05401E+06,2.05099E+06,2.04796E+06,2.0449E+06,2.04183E+06,2.03874E+06,2.03564E+06,2.03252E+06,2.02937E+06,2.02622E+06,2.02304E+06,2.01985E+06,2.01664E+06,2.01341E+06,2.01017E+06,2.0069E+06,2.00362E+06,2.00033E+06,1.99701E+06,1.99368E+06,1.99033E+06,1.98696E+06,1.98358E+06,1.98017E+06,1.97675E+06,1.97331E+06,1.96986E+06,1.96638E+06,1.96289E+06,1.95938E+06,1.95585E+06,1.95231E+06,1.94874E+06,1.94516E+06,1.94156E+06,1.93795E+06,1.93431E+06,1.93066E+06,1.92699E+06,1.9233E+06,1.9196E+06,1.91588E+06,1.91213E+06,1.90838E+06,1.9046E+06,1.9008E+06,1.89699E+06
""Annual supply (tonne/year)"","tonne/Year",55753.6,58921,60467.5,61250.5,61693.3,61987,62214.9,62413,62596.9,62773.2,62945.1,63114.1,63280.7,63445.6,63608.9,63770.9,63931.8,64091.8,64251,64409.6,64567.6,64725.3,64882.6,65039.8,65196.9,65353.9,65511.1,65668.4,65825.9,65983.8,66141.9,66300.5,66459.5,66619.1,66779.1,66939.8,67101.1,67263,67425.6,67588.9,67753,67917.8,68083.5,68249.9,68417.2,68585.3,68754.2,68924.1,69094.8,69266.4,69438.9,69612.4,69786.8,69962.1,70138.3,70315.5,70493.7,70672.8,70852.9,71034,71216,71399,71583,71767.9,71953.9,72140.8,72328.7,72517.6,72707.5,72898.3,73090.2,73283.1,73476.9,73671.7,73867.6,74064.4,74262.2,74461,74660.7,74861.5,75063.3,75268.7,75492.1,75743.3,76026.2,76341.6,76689.3,77068.2,77477.5,77915.9,78382.3,78875.7,79395.2,79939.8,80508.8,81101.3,81716.7,82354.4,83013.7,83694.1,84395.2,85116.6,85857.9,86618.8,87398.9,88198,89015.9,89852.5,90707.5,91580.8,92472.4,93382.2,94310.1,95256.1,96220.3,97202.6,98203.2,99222,100259,101315,102389,103483,104595,105726,106876,108046,109236,110446,111676,112926,114198,115490,116804,118139,119497,120877,122280,123706,125155,126628,128126,129648,131196,132784,134442,136135,137859,139612,141395,143210,145055,146931,148840,150781,152754,154762,156803,158878,160989,163135,165318,167518,169658,171709,173670,175546,177340,179057,180700,182273,183779,185221,186602,187925,189191,190404,191565,192676,193739,194756,195727,196656,197542,198387,199192,199958,200686,201378,202032,202652,203236,203786,204303,204786,205239,205669,206074,206452,206802,207123,207415,207678,207913,208120,208299,208450,208573,208668,208736,208776,208789,208775,208734,208666,208572,208450,208302,208128,207927,207700,207447,207167,206862,206531,206174,205792,205452,205057,204619,204146,203641,203106,202543,201951,201332,200685,200011,199311,198583,197829,197049,196249,195460,194707,194000,193340,192728,192162,191640,191158,190715,190308,189933,189589,189274,188984,188720,188477,188256,188054,187869,187701,187548,187409,187283,187168,187064,186969,186883,186806,186735,186671,186613,186560,186512,186467,186427,186389,186355,186322,186292,186262,186235,186207,186181,186155,186129,186102,186075,186048,186020,185990,185960,185928,185894,185859,185822,185783,185743,185700,185654,185607,185557,185504,185449,185392,185331,185268,185202,185133,185061,184987,184909,184828,184744,184657,184567,184473,184376,184276,184173,184067,183958,183846,183732,183615,183496,183375,183251,183124,182995,182864,182729,182592,182452,182309,182164,182015,181864,181710,181552,181392,181229,181063,180894,180721,180546,180367,180186,180001,179814,179623,179429,179232,179032,178829,178622,178413,178200,177985,177766,177544,177319,177091,176860,176625,176388,176147,175904,175657,175407,175155,174899,174640,174378,174113,173845,173574,173300,173023,172743,172460,172174,171885,171593,171299,171001,170701,170397,170091,169782,169470,169155,168837,168517,168193,167867,167538,167207,166872,166535,166195,165853,165508,165160,164809,164456,164100,163742,163381,163017,162651,162282,161911,161538,161161,160783,160402,160018,159632,159244,158853,158460,158064,157666,157266,156864,156459,156052,155643,155231,154817,154401,153983,153563,153141,152716,152290,151861,151430,150998,150563,150126,149687,149247,148804,148359,147913,147465,147014,146562,146109,145653,145195,144736,144275,143813,143348,142882,142415,141945,141474,141002,140528,140052,139575,139096,138616,138134,137651,137167,136681,136194,135705,135215,134724,134231,133737,133242,132745,132248
"Available supply","tonne/Year",55753.6,58921,60467.5,61250.5,61693.3,61987,62214.9,62413,62596.9,62773.2,62945.1,63114.1,63280.7,63445.6,63608.9,63770.9,63931.8,64091.8,64251,64409.6,64567.6,64725.3,64882.6,65039.8,65196.9,65353.9,65511.1,65668.4,65825.9,65983.8,66141.9,66300.5,66459.5,66619.1,66779.1,66939.8,67101.1,67263,67425.6,67588.9,67753,67917.8,68083.5,68249.9,68417.2,68585.3,68754.2,68924.1,69094.8,69266.4,69438.9,69612.4,69786.8,69962.1,70138.3,70315.5,70493.7,70672.8,70852.9,71034,71216,71399,71583,71767.9,71953.9,72140.8,72328.7,72517.6,72707.5,72898.3,73090.2,73283.1,73476.9,73671.7,73867.6,74064.4,74262.2,74461,74660.7,74861.5,75063.3,75268.7,75492.1,75743.3,76026.2,76341.6,76689.3,77068.2,77477.5,77915.9,78382.3,78875.7,79395.2,79939.8,80508.8,81101.3,81716.7,82354.4,83013.7,83694.1,84395.2,85116.6,85857.9,86618.8,87398.9,88198,89015.9,89852.5,90707.5,91580.8,92472.4,93382.2,94310.1,95256.1,96220.3,97202.6,98203.2,99222,100259,101315,102389,103483,104595,105726,106876,108046,109236,110446,111676,112926,114198,115490,116804,118139,119497,120877,122280,123706,125155,126628,128126,129648,131196,132784,134442,136135,137859,139612,141395,143210,145055,146931,148840,150781,152754,154762,156803,158878,160989,163135,165318,167518,169658,171709,173670,175546,177340,179057,180700,182273,183779,185221,186602,187925,189191,190404,191565,192676,193739,194756,195727,196656,197542,198387,199192,199958,200686,201378,202032,202652,203236,203786,204303,204786,205239,205669,206074,206452,206802,207123,207415,207678,207913,208120,208299,208450,208573,208668,208736,208776,208789,208775,208734,208666,208572,208450,208302,208128,207927,207700,207447,207167,206862,206531,206174,205792,205452,205057,204619,204146,203641,203106,202543,201951,201332,200685,200011,199311,198583,197829,197049,196249,195460,194707,194000,193340,192728,192162,191640,191158,190715,190308,189933,189589,189274,188984,188720,188477,188256,188054,187869,187701,187548,187409,187283,187168,187064,186969,186883,186806,186735,186671,186613,186560,186512,186467,186427,186389,186355,186322,186292,186262,186235,186207,186181,186155,186129,186102,186075,186048,186020,185990,185960,185928,185894,185859,185822,185783,185743,185700,185654,185607,185557,185504,185449,185392,185331,185268,185202,185133,185061,184987,184909,184828,184744,184657,184567,184473,184376,184276,184173,184067,183958,183846,183732,183615,183496,183375,183251,183124,182995,182864,182729,182592,182452,182309,182164,182015,181864,181710,181552,181392,181229,181063,180894,180721,180546,180367,180186,180001,179814,179623,179429,179232,179032,178829,178622,178413,178200,177985,177766,177544,177319,177091,176860,176625,176388,176147,175904,175657,175407,175155,174899,174640,174378,174113,173845,173574,173300,173023,172743,172460,172174,171885,171593,171299,171001,170701,170397,170091,169782,169470,169155,168837,168517,168193,167867,167538,167207,166872,166535,166195,165853,165508,165160,164809,164456,164100,163742,163381,163017,162651,162282,161911,161538,161161,160783,160402,160018,159632,159244,158853,158460,158064,157666,157266,156864,156459,156052,155643,155231,154817,154401,153983,153563,153141,152716,152290,151861,151430,150998,150563,150126,149687,149247,148804,148359,147913,147465,147014,146562,146109,145653,145195,144736,144275,143813,143348,142882,142415,141945,141474,141002,140528,140052,139575,139096,138616,138134,137651,137167,136681,136194,135705,135215,134724,134231,133737,133242,132745,132248
"Capacity delay","Year",5.5
"Capacity multiplier","Dmnl",1
"Carbon emission aversion","tonne/tonneCO2eq",0.08
